timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-12-06,0.00371900,0.00372100,0.00347600,0.00361400,74644625.00000000,1607299199999,268436.90355600,3225,37708858.00000000,135332.50991900,0
2020-12-07,0.00361900,0.00362900,0.00345000,0.00350600,94740652.00000000,1607385599999,333792.46482900,2946,53623022.00000000,188905.22710000,0
2020-12-08,0.00352800,0.00354300,0.00320800,0.00329800,90449113.00000000,1607471999999,305397.60309200,3036,38674754.00000000,131153.12162700,0
2020-12-09,0.00330100,0.00332100,0.00306900,0.00328700,87797642.00000000,1607558399999,280731.07250700,3210,36000097.00000000,115448.41637800,0
2020-12-10,0.00328700,0.00339000,0.00309500,0.00321400,84209080.00000000,1607644799999,270183.29949400,2516,37613217.00000000,121239.08861600,0
2020-12-11,0.00318800,0.00318800,0.00299800,0.00305800,74106956.00000000,1607731199999,227354.94428100,2523,22677340.00000000,69676.35475300,0
2020-12-12,0.00307400,0.00334200,0.00307400,0.00324600,80976297.00000000,1607817599999,258244.69197700,3337,42988244.00000000,137378.89849000,0
2020-12-13,0.00324500,0.00331900,0.00318400,0.00327000,66611602.00000000,1607903999999,216999.40672300,3065,36136185.00000000,117947.52168500,0
2020-12-14,0.00327900,0.00338600,0.00320000,0.00325800,66438358.00000000,1607990399999,216929.30888900,2909,38264146.00000000,125316.08419400,0
2020-12-15,0.00325800,0.00329900,0.00319100,0.00325000,41365299.00000000,1608076799999,134171.68856400,2425,18203711.00000000,59058.78862500,0
2020-12-16,0.00324200,0.00359000,0.00300600,0.00341900,188681679.00000000,1608163199999,617895.48224400,5653,92349215.00000000,305125.90090000,0
2020-12-17,0.00341800,0.00369900,0.00333000,0.00353100,216783862.00000000,1608249599999,753666.95930000,8834,116859069.00000000,407330.41855100,0
2020-12-18,0.00354500,0.00362900,0.00339000,0.00360800,135068437.00000000,1608335999999,476047.25392100,6797,60661959.00000000,214107.25253900,0
2020-12-19,0.00361300,0.00372600,0.00357000,0.00362700,159581469.00000000,1608422399999,583988.95886600,6474,77237890.00000000,282834.45440200,0
2020-12-20,0.00362700,0.00374200,0.00349500,0.00363000,213456156.00000000,1608508799999,771035.07765700,8333,99283720.00000000,359271.71666400,0
2020-12-21,0.00363000,0.00393800,0.00331000,0.00350700,372216696.00000000,1608595199999,1353672.41200900,10990,175005861.00000000,634119.45891200,0
2020-12-22,0.00348800,0.00352500,0.00327500,0.00338300,130170402.00000000,1608681599999,438740.01362900,5435,62372129.00000000,209990.33034200,0
2020-12-23,0.00340000,0.00341200,0.00281600,0.00284600,247800231.00000000,1608767999999,770536.84391400,8533,122725364.00000000,382805.52493200,0
2020-12-24,0.00284600,0.00327700,0.00277700,0.00320800,140557763.00000000,1608854399999,422002.02526000,4988,70252984.00000000,212545.54971700,0
2020-12-25,0.00322400,0.00329700,0.00307900,0.00310400,96702461.00000000,1608940799999,307569.29083200,4356,39969887.00000000,127113.10957900,0
